population_thousands,industrial_output_index,avg_temperature_c,precipitation_mm,water_pricing_tier,infrastructure_age_years,leakage_rate_percent,agricultural_share_percent,conservation_programs,metering_coverage,climate_type,economic_development,water_consumption_ml_per_capita
656.0,21.626475721906658,,281.21943513331684,Medium,59.92969422446923,19.783794892757484,36.59794365588201,Basic,Partial,Arid,Low,284.79289105835846
287.0,89.34725333576428,21.577592337561427,133.90012198355882,High,44.457389741182645,19.82957002112177,41.40529645816458,None,Complete,Arid,High,284.1024329326518
126.0,1.5522380782086231,,,Medium,57.79946421084878,6.347492873067642,57.9552160202885,None,Partial,Arid,Low,
591.0,87.2103923089338,28.51678071344674,86.82921700946416,Very High,51.767124740100904,17.291724137832595,38.26279121894547,None,Complete,,Medium,306.1317113366179
36.0,98.32330539046148,14.905464581172954,44.4890064867885,Very High,78.71353046492548,13.760940608224985,63.78175821881119,Advanced,Partial,Arid,High,130.57614423651648
,70.82688069682709,30.488894599689498,3.2182065323891895,Very High,69.63628357543871,8.30037971574599,45.24012423550809,Basic,,Temperate,High,344.6411744879616
991.0,92.08167741976251,10.519012297849992,273.1091016591959,Low,85.53238248209766,12.023826532971587,21.595664948199527,Comprehensive,Complete,Semi-Arid,Low,324.7576380565683
251.0,98.53874574391496,15.35955794599738,,Low,92.03936578625255,14.954891923365047,6.955608604947816,Basic,Partial,Arid,High,90.577980028992
604.0,33.152868895246456,17.09850505038571,262.4749486904519,Medium,62.37407082836681,23.96109031345602,43.289853430937356,Basic,Partial,Arid,High,388.7932371505277
759.0,21.919757561507836,30.888954036947517,148.63596193195556,Low,50.95871810620943,29.457686877646474,,Advanced,Partial,Semi-Arid,High,348.0546671807942
228.0,71.8222539116432,13.106088958707032,246.0246329946741,Very High,75.80530278152818,13.604367245989986,70.51192148918511,None,Partial,Arid,High,99.46684980253056
738.0,49.624070019453605,31.6194676033151,80.66629842026578,Medium,77.73901734112084,19.480638734384414,77.4528782339656,None,Complete,,High,267.0588893736141
296.0,45.51513528095955,21.610822529185427,27.826766772275047,High,76.6020475378416,12.595844129275003,28.278123936971326,None,Partial,,Medium,81.60825427585107
506.0,38.87745968141103,30.258914701023244,2.816150324939093,High,40.89308780685868,14.127915520789733,11.303571025574293,Advanced,Partial,Humid,High,153.91502350816873
660.0,75.24957299937543,34.54520321023848,176.04590629924024,Low,53.112452090692194,25.54543325382473,35.51997913132786,None,Partial,Semi-Arid,Low,477.0990970498673
938.0,9.091995205345615,18.427137322225157,279.4745854384878,Very High,46.129340853457755,21.6428746878192,62.33587468236426,Basic,Complete,Temperate,Low,332.370473652619
555.0,42.8951860904788,20.5689902409225,,Medium,57.956277005369905,15.849783023791744,58.95350357003288,Comprehensive,Complete,Semi-Arid,Medium,390.0591509333003
184.0,32.82945929622182,14.158008112330997,57.05996860140172,Very High,86.98526199154519,12.869536123625078,53.607754770650715,Comprehensive,Complete,Temperate,Low,317.3789735669404
370.0,88.11735234630794,,25.643277659915718,Low,35.21960409224852,18.039925543442337,31.644420690225505,None,Complete,Arid,,318.3838449488485
939.0,39.402620881447106,34.158061548728796,247.45851083321085,High,45.80732920882353,19.735179650121815,,Basic,Partial,Temperate,High,259.32042964370766
795.0,59.486613728657964,23.59435147923324,161.60428918467036,Low,90.63154358595375,27.488568684892478,30.98575714423733,None,Complete,Arid,Medium,400.18042213625625
378.0,22.79285335567408,31.24549562245324,214.5857818472043,Medium,37.29244153673961,38.88388171175701,20.719089670574835,Comprehensive,Partial,,High,
889.0,,10.700638524081842,209.37352399161716,Low,17.649412801596917,15.827952003564944,50.13531855291809,Comprehensive,Partial,Semi-Arid,Low,452.1734155991718
688.0,65.22555886978866,,2.6490301538386274,Very High,11.750730760890933,15.462457437382067,58.99469297904638,Advanced,Complete,Semi-Arid,High,469.9127627192338
603.0,18.939345383485396,23.432658383041634,99.68604150839084,Low,40.78814604084823,8.002763535722844,77.06067536316709,Advanced,Complete,Semi-Arid,Low,74.66942227849202
269.0,40.442990666670006,25.427860052040607,25.46708560009119,Medium,93.25174037620909,30.670303852096392,56.30720617711567,Basic,,Humid,Low,163.27815855311053
229.0,16.293696082151076,23.379826829520958,115.74220325509481,Medium,83.00417453437076,33.64268150358867,15.780442690762229,Advanced,Partial,Temperate,High,279.27174766462133
866.0,85.08231478739191,10.46477468209921,58.32271534754728,Medium,,25.685978043278286,43.031847794762314,Basic,Complete,Arid,High,213.886641354919
145.0,55.31755309253042,20.677685990292225,57.41109436483839,Very High,96.39476023696244,6.576490244620851,4.219590270359932,Basic,Complete,Temperate,Medium,330.07436567283656
